,shootmass,leafnum,nodulenum,meannodulemass,totalnodulemass,chloro,harvester,harvestdate,plant_age,strain,nitrogen,field,plot,plantspori,plantpopori,plantsprear,plantpoprear,type,dataset_year
19,0.41,12,82,0.1219510,0.0100000,45.4,KK,1/14/08,90,116,Nitrogen,1,1B,T. pratense,Greece,T. hybridum,Colorado,treat,2008
20,0.31,11,99,0.1777780,0.0176000,35.8,JL,1/14/08,90,110,Control,4,4A,T. repens,Idaho,T. pratense,Greece,treat,2008
21,0.17,11,41,0.4317070,0.0177000,46.1,JL,1/14/08,90,901,Control,2,2A,T. repens,Idaho,T. hybridum,Colorado,treat,2008
22,0.36,9,87,0.1816090,0.0158000,54.8,TB,1/14/08,90,61,Nitrogen,5,5B,T. pratense,Germany,T. pratense,Pennsylvania,treat,2008
23,0.16,11,60,0.0617000,0.0037000,29.5,JL,1/14/08,90,228,Control,1,1A,T. pratense,Greece,T. hybridum,Russia,treat,2008
24,0.14,14,64,0.1609380,0.0103000,44.2,JL,1/14/08,90,50,Control,1,1A,T. pratense,Pennsylvania,T. repens,Idaho,treat,2008
25,0.01,5,0,NA,NA,NA,JL,1/14/08,90,773,Nitrogen,4,4B,T. pratense,Greece,T. hybridum,Colorado,treat,2008
26,0.24,8,69,0.1231880,0.0085000,44.4,CPT,1/14/08,90,308,Control,6,6A,T. pratense,Pennsylvania,T. pratense,Greece,treat,2008
27,0.37,21,73,0.4547950,0.0332000,38.8,JL,1/14/08,90,3,Control,6,6A,T. repens,Idaho,T. repens,Idaho,treat,2008
28,0.39,11,94,0.1265960,0.0119000,48.8,EM,1/14/08,90,116,Nitrogen,1,1B,T. pratense,Greece,T. pratense,Pennsylvania,treat,2008
29,0.39,14,0,NA,NA,40.9,JJ,1/14/08,90,643,Nitrogen,2,2B,T. pratense,Greece,T. hybridum,Russia,treat,2008
30,0.12,9,36,0.2250000,0.0081000,35.7,JJ,1/14/08,90,3,Control,6,6A,T. repens,Idaho,T. hybridum,Russia,treat,2008
31,0.17,6,0,NA,NA,39.5,JL,1/14/08,90,643,Nitrogen,2,2B,T. pratense,Greece,T. pratense,Greece,treat,2008
32,0.24,19,105,0.0810000,0.0085000,43.5,CPT,1/14/08,90,113,Control,6,6A,T. hybridum,Colorado,T. repens,Chile,treat,2008
33,0.27,4,49,0.0980000,0.0048000,41.6,NA,1/14/08,90,180,Control,5,5A,T. repens,Idaho,T. pratense,Pennsylvania,treat,2008
34,0.44,20,87,0.2540230,0.0221000,50.2,JL,1/14/08,90,318,Control,2,2A,T. pratense,Pennsylvania,T. hybridum,Colorado,treat,2008
35,0.37,8,109,0.0587000,0.0064000,47.7,EM,1/14/08,90,762,Nitrogen,5,5B,T. pratense,Greece,T. pratense,Pennsylvania,treat,2008
36,0.34,9,103,0.1757280,0.0181000,50.5,CPT,1/14/08,90,74,Control,1,1A,T. hybridum,Russia,T. pratense,Pennsylvania,treat,2008
37,0.20,13,39,0.8102560,0.0316000,30.4,CPT,1/14/08,90,773,Nitrogen,4,4B,T. pratense,Greece,T. repens,Idaho,treat,2008
38,0.08,5,36,0.3611110,0.0130000,42.6,TB,1/14/08,90,262,Nitrogen,2,2B,T. repens,Idaho,T. repens,Idaho,treat,2008
39,0.34,11,107,0.3887850,0.0416000,50.5,JL,1/14/08,90,861,Control,5,5A,T. repens,Chile,T. pratense,Pennsylvania,treat,2008
40,0.30,22,49,0.3061220,0.0150000,50.7,JL,1/14/08,90,511,Nitrogen,3,3B,T. pratense,Pennsylvania,T. repens,Chile,treat,2008
41,0.32,19,64,0.2828130,0.0181000,44.5,TB,1/14/08,90,627,Control,6,6A,T. repens,Chile,T. hybridum,Russia,treat,2008
42,0.46,11,40,0.3600000,0.0144000,53.3,JJ,1/14/08,90,493,Control,5,5A,T. pratense,Greece,T. pratense,Pennsylvania,treat,2008
43,0.18,7,104,0.0731000,0.0076000,46.6,FD,1/14/08,90,325,Control,4,4A,T. repens,Chile,T. pratense,Greece,treat,2008
44,0.38,11,320,0.0162500,0.0052000,40.1,MH,1/14/08,90,97,Nitrogen,1,1B,T. hybridum,Colorado,T. hybridum,Colorado,treat,2008
45,0.23,8,169,0.0527000,0.0089000,35.9,TB,1/14/08,90,475,Nitrogen,4,4B,T. repens,Idaho,T. pratense,Greece,treat,2008
46,0.29,8,189,0.1185190,0.0224000,43.3,FD,1/14/08,90,61,Nitrogen,5,5B,T. pratense,Germany,T. pratense,Greece,treat,2008
47,0.03,3,38,0.0737000,0.0028000,22.9,CPT,1/14/08,90,837,Control,3,3A,T. hybridum,Russia,T. pratense,Greece,treat,2008
48,0.18,8,251,0.0351000,0.0088000,38,ES,1/14/08,90,108,Control,3,3A,T. hybridum,Colorado,T. pratense,Greece,treat,2008
49,0.47,15,3,0.0167000,0.0000500,42.9,ES,1/14/08,90,56,Nitrogen,5,5B,T. repens,Idaho,T. hybridum,Colorado,treat,2008
50,0.09,5,170,0.0400000,0.0068000,20.8,NA,1/18/08,90,231,Nitrogen,6,6B,T. repens,France,T. pratense,Greece,treat,2008
51,0.22,8,258,0.1468990,0.0379000,44.8,JL,1/14/08,90,50,Control,1,1A,T. pratense,Pennsylvania,T. pratense,Greece,treat,2008
52,0.18,13,202,0.0332000,0.0067000,37.8,MH,1/14/08,90,796,Nitrogen,2,2B,T. hybridum,Russia,T. pratense,Greece,treat,2008
53,0.36,23,97,0.3804120,0.0369000,43.9,JL,1/14/08,90,61,Nitrogen,5,5B,T. pratense,Germany,T. repens,Chile,treat,2008
54,0.43,19,53,0.3433960,0.0182000,44.3,JL,1/14/08,90,461,Control,2,2A,T. hybridum,Colorado,T. hybridum,Colorado,treat,2008
55,0.28,11,4,8.0750000,0.0323000,54,JL,1/14/08,90,318,Control,2,2A,T. pratense,Pennsylvania,T. hybridum,Russia,treat,2008
56,0.14,10,36,0.3194440,0.0115000,45.8,JL,1/14/08,90,116,Nitrogen,1,1B,T. pratense,Greece,T. hybridum,Russia,treat,2008
57,0.18,11,50,0.1940000,0.0097000,42.4,MH,1/17/08,90,861,Control,5,5A,T. repens,Chile,T. hybridum,Russia,treat,2008
58,0.63,17,159,0.0730000,0.0116000,48.1,DW,1/17/08,90,113,Control,6,6A,T. hybridum,Colorado,T. hybridum,Colorado,treat,2008
59,0.48,34,69,0.1768120,0.0122000,52,MH,1/14/08,90,796,Nitrogen,2,2B,T. hybridum,Russia,T. repens,Idaho,treat,2008
60,0.81,14,244,0.2143440,0.0523000,53.8,JL,1/15/08,90,449,Control,2,2A,T. hybridum,Russia,T. pratense,Pennsylvania,treat,2008
61,0.06,3,60,0.0700000,0.0042000,24.1,MH,1/15/08,90,699,Nitrogen,5,5B,T. repens,Chile,T. pratense,Pennsylvania,treat,2008
62,0.43,8,227,0.1154190,0.0262000,48.8,KK,1/15/08,90,209,Nitrogen,6,6B,T. hybridum,Greece,T. pratense,Pennsylvania,treat,2008
63,0.18,12,182,0.0945000,0.0172000,33.9,RP,1/17/08,90,113,Control,6,6A,T. hybridum,Colorado,T. hybridum,Russia,treat,2008
64,0.69,18,73,0.3657530,0.0267000,39.8,MH,1/17/08,90,796,Nitrogen,2,2B,T. hybridum,Russia,T. repens,Idaho,treat,2008
65,0.52,16,131,0.1396950,0.0183000,48.5,JJ,1/15/08,90,538,Nitrogen,1,1B,T. hybridum,Russia,T. pratense,Greece,treat,2008
66,0.11,5,90,0.0433000,0.0039000,25.2,JL,1/15/08,90,262,Nitrogen,2,2B,T. repens,Idaho,T. hybridum,Russia,treat,2008
67,0.75,8,66,0.3030300,0.0200000,53.3,CPT,1/15/08,90,145,Control,3,3A,T. pratense,Greece,T. pratense,Pennsylvania,treat,2008
68,0.34,17,60,0.1550000,0.0093000,51.1,TB,1/17/08,90,415,Control,3,3A,T. repens,Idaho,T. repens,Idaho,treat,2008
69,0.38,10,62,0.0726000,0.0045000,43.7,MH,1/17/08,90,110,Control,4,4A,T. repens,Idaho,T. hybridum,Colorado,treat,2008
70,0.28,6,76,0.1210530,0.0092000,49.9,MH,1/14/08,90,308,Control,6,6A,T. pratense,Pennsylvania,T. pratense,Pennsylvania,treat,2008
71,0.31,5,82,0.2487800,0.0204000,38.8,MH,1/14/08,90,231,Nitrogen,6,6B,T. repens,France,T. pratense,Pennsylvania,treat,2008
72,0.30,6,31,1.0967740,0.0340000,43.2,CPT,1/15/08,90,559,Control,4,4A,T. pratense,Pennsylvania,T. pratense,Greece,treat,2008
73,0.35,4,65,0.2615380,0.0170000,NA,CPT,1/15/08,90,717,Nitrogen,6,6B,T. pratense,Greece,T. pratense,Pennsylvania,treat,2008
74,0.22,8,85,0.5729410,0.0487000,39.4,CPT,1/15/08,90,596,Nitrogen,1,1B,T. repens,Idaho,T. repens,Chile,treat,2008
75,0.13,8,55,0.2054550,0.0113000,19,MH,1/16/08,90,729,Control,1,1A,T. hybridum,Colorado,T. hybridum,Russia,treat,2008
76,0.43,11,276,0.2387680,0.0659000,42,CPT,1/17/08,90,180,Control,5,5A,T. repens,Idaho,T. pratense,Greece,treat,2008
77,0.33,16,71,0.2788730,0.0198000,47.2,CPT,1/15/08,90,478,Nitrogen,2,2B,T. repens,Chile,T. repens,Idaho,treat,2008
78,0.59,7,56,0.1785710,0.0100000,50.3,CPT,1/15/08,90,108,Control,3,3A,T. hybridum,Colorado,T. pratense,Pennsylvania,treat,2008
79,0.29,15,31,0.0032300,0.0001000,42.9,DW,1/18/08,90,155,Control,4,4A,T. pratense,Greece,T. repens,Idaho,treat,2008
80,0.26,13,112,0.1991070,0.0223000,49.4,DW,1/18/08,90,145,Control,3,3A,T. pratense,Greece,T. repens,Chile,treat,2008
81,0.25,12,148,0.0777000,0.0115000,42.7,DW,1/18/08,90,527,Nitrogen,3,3B,T. pratense,Greece,T. pratense,Greece,treat,2008
82,0.44,6,195,0.0359000,0.0070000,37.1,DW,1/17/08,90,344,Control,6,6A,T. pratense,Greece,T. pratense,Pennsylvania,treat,2008
83,0.10,4,0,NA,NA,22.4,RP,1/17/08,90,40,Nitrogen,3,3B,T. repens,Idaho,T. hybridum,Russia,treat,2008
84,0.22,8,124,0.1846770,0.0229000,44.8,JL,1/15/08,90,100,Control,5,5A,T. hybridum,Russia,T. pratense,Greece,treat,2008
85,0.35,6,161,0.2409940,0.0388000,47.8,JL,1/15/08,90,901,Control,2,2A,T. repens,Idaho,T. pratense,Pennsylvania,treat,2008
86,0.13,6,388,0.0299000,0.0115912,26.7,MH,1/18/08,90,729,Control,1,1A,T. hybridum,Colorado,T. hybridum,Colorado,treat,2008
87,0.39,6,220,0.1486360,0.0327000,34.8,MH,1/17/08,90,97,Nitrogen,1,1B,T. hybridum,Colorado,T. pratense,Greece,treat,2008
88,0.25,9,125,NA,NA,29.5,CPT,1/17/08,90,699,Nitrogen,5,5B,T. repens,Chile,T. hybridum,Russia,treat,2008
89,0.07,4,29,0.0345000,0.0010000,28.7,CPT,1/17/08,90,636,Control,1,1A,T. repens,Chile,T. hybridum,Russia,treat,2008
90,0.06,5,50,0.4460000,0.0223000,22,JL,1/17/08,90,559,Control,4,4A,T. pratense,Pennsylvania,T. pratense,Greece,treat,2008
91,0.37,7,550,0.1006250,0.0553438,24,JL,1/17/08,90,498,Nitrogen,5,5B,T. hybridum,Colorado,T. pratense,Pennsylvania,treat,2008
92,0.22,5,68,0.5367650,0.0365000,32,JL,1/17/08,90,773,Nitrogen,4,4B,T. pratense,Greece,T. pratense,Greece,treat,2008
93,0.25,7,556,0.0257000,0.0143000,20.4,MH,1/17/08,90,699,Nitrogen,5,5B,T. repens,Chile,T. repens,Idaho,treat,2008
94,0.28,14,43,0.1441860,0.0062000,50,CPT,1/17/08,90,56,Nitrogen,5,5B,T. repens,Idaho,T. hybridum,Russia,treat,2008
95,0.43,9,68,0.2367650,0.0161000,51.9,CPT,1/17/08,90,758,Control,1,1A,T. repens,Idaho,T. pratense,Pennsylvania,treat,2008
96,0.46,14,24,0.0583000,0.0014000,52.2,JL,1/17/08,90,228,Control,1,1A,T. pratense,Greece,T. hybridum,Colorado,treat,2008
97,0.21,10,3,1.0000000,0.0030000,37,JL,1/17/08,90,559,Control,4,4A,T. pratense,Pennsylvania,T. hybridum,Russia,treat,2008
98,0.11,7,20,0.0050000,0.0001000,26,JL,1/17/08,90,511,Nitrogen,3,3B,T. pratense,Pennsylvania,T. hybridum,Russia,treat,2008
99,0.09,17,69,0.1043480,0.0072000,44.4,MH,1/18/08,90,651,Nitrogen,6,6B,T. hybridum,Russia,T. repens,Idaho,treat,2008
100,0.25,9,195,0.0610000,0.0119000,43.8,CPT,1/17/08,90,113,Control,6,6A,T. hybridum,Colorado,T. pratense,Greece,treat,2008
101,0.22,6,121,0.0397000,0.0048000,9.7,MH,1/18/08,90,762,Nitrogen,5,5B,T. pratense,Greece,T. hybridum,Russia,treat,2008
102,0.40,22,48,0.3354170,0.0161000,51.3,JL,1/17/08,90,308,Control,6,6A,T. pratense,Pennsylvania,T. repens,Chile,treat,2008
103,0.14,9,32,0.0437500,0.0014000,23.6,JL,1/17/08,90,577,Nitrogen,3,3B,T. hybridum,Colorado,T. hybridum,Russia,treat,2008
104,0.35,13,41,0.5024390,0.0206000,55.8,DW,1/18/08,90,3,Control,6,6A,T. repens,Idaho,T. repens,Chile,treat,2008
105,0.28,9,340,NA,NA,33.1,CPT,1/17/08,90,262,Nitrogen,2,2B,T. repens,Idaho,T. pratense,Greece,treat,2008
106,0.41,14,117,0.1717950,0.0201000,47.1,CPT,1/17/08,90,74,Control,1,1A,T. hybridum,Russia,T. hybridum,Colorado,treat,2008
107,0.41,5,143,0.0783000,0.0112000,44.7,CPT,1/17/08,90,478,Nitrogen,2,2B,T. repens,Chile,T. pratense,Pennsylvania,treat,2008
108,0.52,27,99,0.2606060,0.0258000,52.3,JL,1/18/08,90,231,Nitrogen,6,6B,T. repens,France,T. repens,Chile,treat,2008
109,0.45,8,117,0.1076920,0.0126000,52.7,MH,1/18/08,90,328,Nitrogen,2,2B,T. pratense,Greece,T. pratense,Pennsylvania,treat,2008
110,0.45,11,368,0.0255000,0.0094000,40.4,CPT,1/17/08,90,97,Nitrogen,1,1B,T. hybridum,Colorado,T. hybridum,Colorado,treat,2008
111,0.40,25,131,0.4419850,0.0579000,44.8,JL,1/17/08,90,325,Control,4,4A,T. repens,Chile,T. repens,Idaho,treat,2008
112,0.35,9,332,0.1177710,0.0391000,50,JL,1/18/08,90,344,Control,6,6A,T. pratense,Greece,T. pratense,Greece,treat,2008
113,0.05,5,52,0.0154000,0.0008000,20.7,DW,1/18/08,90,97,Nitrogen,1,1B,T. hybridum,Colorado,T. hybridum,Russia,treat,2008
114,0.18,6,114,0.4017540,0.0458000,33.5,JL,1/18/08,90,438,Control,4,4A,T. hybridum,Russia,T. pratense,Greece,treat,2008
115,1.50,28,93,0.2946240,0.0274000,45.7,DW,1/17/08,90,462,Control,5,5A,T. hybridum,Colorado,T. repens,Idaho,treat,2008
116,0.12,6,120,0.1642860,0.0197143,15.3,JL,1/17/08,90,415,Control,3,3A,T. repens,Idaho,T. hybridum,Russia,treat,2008
117,0.70,29,79,0.4354430,0.0344000,51.7,JL,1/17/08,90,108,Control,3,3A,T. hybridum,Colorado,T. repens,Chile,treat,2008
118,0.14,6,168,0.1160710,0.0195000,51.2,DW,1/18/08,90,61,Nitrogen,5,5B,T. pratense,Germany,T. hybridum,Russia,treat,2008
119,0.41,19,97,0.0866000,0.0084000,53.4,TB,1/17/08,90,438,Control,4,4A,T. hybridum,Russia,T. hybridum,Colorado,treat,2008
120,0.55,30,41,0.4682930,0.0192000,46.7,JL,1/17/08,90,228,Control,1,1A,T. pratense,Greece,T. repens,Chile,treat,2008
121,0.86,20,92,0.3315220,0.0305000,52.7,JL,1/17/08,90,56,Nitrogen,5,5B,T. repens,Idaho,T. pratense,Pennsylvania,treat,2008
122,0.48,11,202,0.4465350,0.0902000,44.7,JL,1/17/08,90,50,Control,1,1A,T. pratense,Pennsylvania,T. pratense,Pennsylvania,treat,2008
123,0.67,56,124,0.4169350,0.0517000,47.3,JL,1/17/08,90,61,Nitrogen,5,5B,T. pratense,Germany,T. repens,Idaho,treat,2008
124,0.65,18,28,2.0642860,0.0578000,44.4,DW,1/18/08,90,762,Nitrogen,5,5B,T. pratense,Greece,T. repens,Chile,treat,2008
125,0.60,21,190,0.1305260,0.0248000,48.2,DW,1/19/08,90,729,Control,1,1A,T. hybridum,Colorado,T. repens,Chile,treat,2008
126,0.34,17,328,0.0802000,0.0263000,36.8,TB,1/17/08,90,837,Control,3,3A,T. hybridum,Russia,T. hybridum,Russia,treat,2008
127,0.22,11,190,0.2652630,0.0504000,42.8,JL,1/17/08,90,460,Control,3,3A,T. repens,Chile,T. hybridum,Russia,treat,2008
128,0.54,37,118,0.2542370,0.0300000,51.7,JL,1/17/08,90,344,Control,6,6A,T. pratense,Greece,T. repens,Idaho,treat,2008
129,0.50,16,185,0.4183780,0.0774000,40.1,JL,1/17/08,90,758,Control,1,1A,T. repens,Idaho,T. pratense,Greece,treat,2008
130,0.65,35,37,1.1324320,0.0419000,45.4,JL,1/17/08,90,493,Control,5,5A,T. pratense,Greece,T. repens,Chile,treat,2008
131,0.34,7,430,0.1758820,0.0756294,36.1,JL,1/17/08,90,478,Nitrogen,2,2B,T. repens,Chile,T. pratense,Greece,treat,2008
132,0.45,13,88,0.2886360,0.0254000,43.8,DW,1/19/08,90,717,Nitrogen,6,6B,T. pratense,Greece,T. pratense,Greece,treat,2008
133,0.44,26,68,0.2720590,0.0185000,39.5,JL,1/17/08,90,499,Control,3,3A,T. pratense,Pennsylvania,T. hybridum,Colorado,treat,2008
134,0.43,8,175,0.1565710,0.0274000,50.1,JL,1/17/08,90,577,Nitrogen,3,3B,T. hybridum,Colorado,T. pratense,Pennsylvania,treat,2008
135,0.43,13,130,0.0869000,0.0113000,38.3,JL,1/17/08,90,726,Control,6,6A,T. hybridum,Russia,T. pratense,Greece,treat,2008
136,0.45,10,259,0.4667950,0.1209000,38,JL,1/17/08,90,209,Nitrogen,6,6B,T. hybridum,Greece,T. pratense,Greece,treat,2008
137,0.43,31,183,0.3071040,0.0562000,46,JL,1/17/08,90,344,Control,6,6A,T. pratense,Greece,T. hybridum,Colorado,treat,2008
138,0.09,10,25,0.5960000,0.0149000,13.1,TB,1/17/08,90,40,Nitrogen,3,3B,T. repens,Idaho,T. hybridum,Russia,treat,2008
139,0.07,6,1,0.0500000,0.0000500,5.9,JL,1/17/08,90,3,Control,6,6A,T. repens,Idaho,T. hybridum,Russia,treat,2008
140,0.31,10,147,0.2517010,0.0370000,43.5,JL,1/17/08,90,527,Nitrogen,3,3B,T. pratense,Greece,T. pratense,Greece,treat,2008
141,0.41,24,87,1.3528740,0.1177000,38.4,JL,1/17/08,90,156,Nitrogen,2,2B,T. hybridum,Colorado,T. repens,Chile,treat,2008
142,0.81,13,159,0.3150940,0.0501000,55.7,JL,1/17/08,90,110,Control,4,4A,T. repens,Idaho,T. pratense,Pennsylvania,treat,2008
143,0.11,5,74,0.4783780,0.0354000,37.6,JL,1/17/08,90,717,Nitrogen,6,6B,T. pratense,Greece,T. pratense,Greece,treat,2008
144,0.58,30,400,0.1875000,0.0750000,49.6,MH,1/18/08,90,110,Control,4,4A,T. repens,Idaho,T. repens,Idaho,treat,2008
145,0.07,6,31,0.0226000,0.0007000,14.4,JL,1/17/08,90,478,Nitrogen,2,2B,T. repens,Chile,T. hybridum,Russia,treat,2008
146,0.13,7,2,1.0500000,0.0021000,NA,JL,1/17/08,90,559,Control,4,4A,T. pratense,Pennsylvania,T. hybridum,Russia,treat,2008
147,0.33,7,37,1.1081080,0.0410000,45.5,JL,1/17/08,90,3,Control,6,6A,T. repens,Idaho,T. pratense,Greece,treat,2008
148,0.28,33,1010,0.0241000,0.0242911,26,ES,1/17/08,90,449,Control,2,2A,T. hybridum,Russia,T. repens,Chile,treat,2008
149,0.22,8,10,0.2600000,0.0026000,36.4,DW,1/19/08,90,3,Control,6,6A,T. repens,Idaho,T. pratense,Greece,treat,2008
150,0.63,14,86,0.0523000,0.0045000,50.3,ES,1/17/08,90,462,Control,5,5A,T. hybridum,Colorado,T. pratense,Pennsylvania,treat,2008
151,0.50,21,155,0.1774190,0.0275000,51,DW,1/19/08,90,762,Nitrogen,5,5B,T. pratense,Greece,T. repens,Idaho,treat,2008
152,0.66,58,120,0.3525000,0.0423000,50.8,DW,1/21/08,90,97,Nitrogen,1,1B,T. hybridum,Colorado,T. repens,Idaho,treat,2008
153,0.14,12,20,1.8000000,0.0360000,45.6,ES,1/17/08,90,773,Nitrogen,4,4B,T. pratense,Greece,T. hybridum,Colorado,treat,2008
154,0.30,10,240,0.2360000,0.0566400,46.3,JL,1/19/08,90,108,Control,3,3A,T. hybridum,Colorado,T. pratense,Greece,treat,2008
155,0.47,16,104,0.2730000,0.0283920,43.1,MH,1/19/08,90,478,Nitrogen,2,2B,T. repens,Chile,T. repens,Idaho,treat,2008
156,0.01,5,44,0.0409000,0.0018000,NA,DW,1/21/08,90,325,Control,4,4A,T. repens,Chile,T. hybridum,Russia,treat,2008
157,0.69,32,135,0.5553720,0.0749752,53.6,DW,1/21/08,90,901,Control,2,2A,T. repens,Idaho,T. repens,Chile,treat,2008
158,0.28,10,126,0.2060000,0.0259560,45.5,MH,1/21/08,90,461,Control,2,2A,T. hybridum,Colorado,T. pratense,Greece,treat,2008
159,0.61,17,127,0.3763640,0.0477982,40.8,DW,1/21/08,90,318,Control,2,2A,T. pratense,Pennsylvania,T. pratense,Greece,treat,2008
160,0.42,21,186,0.2582520,0.0480350,44.1,DW,1/21/08,90,837,Control,3,3A,T. hybridum,Russia,T. repens,Idaho,treat,2008
161,0.52,19,580,0.4225000,0.2450500,36.7,JL,1/19/08,90,61,Nitrogen,5,5B,T. pratense,Germany,T. pratense,Greece,treat,2008
162,0.20,9,115,0.1160000,0.0133400,13,JL,1/19/08,90,262,Nitrogen,2,2B,T. repens,Idaho,T. hybridum,Russia,treat,2008
163,0.73,21,547,0.2980000,0.1630060,NA,MH,1/19/08,90,460,Control,3,3A,T. repens,Chile,T. hybridum,Colorado,treat,2008
164,0.71,17,88,0.0841000,0.0074000,45.2,KK,1/21/08,90,758,Control,1,1A,T. repens,Idaho,T. hybridum,Colorado,treat,2008
165,0.69,7,315,0.2640000,0.0831600,51.5,JL,1/21/08,90,651,Nitrogen,6,6B,T. hybridum,Russia,T. pratense,Pennsylvania,treat,2008
166,0.12,5,155,0.0533000,0.0082667,15,JL,1/19/08,90,699,Nitrogen,5,5B,T. repens,Chile,T. hybridum,Colorado,treat,2008
167,0.52,30,157,0.0490000,0.0076930,36.3,MH,1/19/08,90,308,Control,6,6A,T. pratense,Pennsylvania,T. repens,Idaho,treat,2008
168,0.47,30,265,0.1960000,0.0519400,40.7,JL,1/21/08,90,113,Control,6,6A,T. hybridum,Colorado,T. repens,Idaho,treat,2008
169,0.47,19,99,0.3010100,0.0298000,58.9,JL,1/21/08,90,74,Control,1,1A,T. hybridum,Russia,T. hybridum,Russia,treat,2008
170,0.52,19,126,1.1634920,0.1466000,35.2,JL,1/21/08,90,475,Nitrogen,4,4B,T. repens,Idaho,T. repens,Chile,treat,2008
171,0.63,36,185,0.0980000,0.0181300,48.2,JL,1/21/08,90,651,Nitrogen,6,6B,T. hybridum,Russia,T. repens,Idaho,treat,2008
172,0.70,53,235,0.4130000,0.0970550,40.2,JL,1/21/08,90,596,Nitrogen,1,1B,T. repens,Idaho,T. repens,Idaho,treat,2008
173,0.24,5,862,0.0827000,0.0712808,23.3,DW,1/22/08,90,859,Nitrogen,4,4B,T. repens,Chile,T. pratense,Greece,treat,2008
174,0.18,10,372,0.0188000,0.0069980,18.4,DW,1/22/08,90,344,Control,6,6A,T. pratense,Greece,T. hybridum,Russia,treat,2008
175,0.60,8,161,0.1128710,0.0181723,49.5,DW,1/22/08,90,717,Nitrogen,6,6B,T. pratense,Greece,T. pratense,Pennsylvania,treat,2008
176,0.41,7,220,0.1138890,0.0250556,44.4,DW,1/22/08,90,415,Control,3,3A,T. repens,Idaho,T. pratense,Pennsylvania,treat,2008
177,0.11,5,248,0.0600000,0.0148800,15.1,DW,1/22/08,90,381,Nitrogen,3,3B,T. repens,Chile,T. hybridum,Russia,treat,2008
178,0.81,38,283,0.4123810,0.1167038,43.9,DW,1/22/08,90,173,Control,2,2A,T. repens,Chile,T. repens,Idaho,treat,2008
179,0.87,67,163,0.5033900,0.0820525,52.8,JL,1/22/08,90,859,Nitrogen,4,4B,T. repens,Chile,T. repens,Idaho,treat,2008
180,0.66,38,185,0.2970000,0.0549450,48.2,JL,1/22/08,90,209,Nitrogen,6,6B,T. hybridum,Greece,T. repens,Chile,treat,2008
181,0.53,18,95,0.3831580,0.0364000,48.3,JL,1/22/08,90,56,Nitrogen,5,5B,T. repens,Idaho,T. hybridum,Russia,treat,2008
